model,scaler,balancing_name,training_time,f1,best_params
RandomForestClassifier,StandardScaler,RandomOverSampler,237.44251775741577,0.7489016215353742,"{'clf__criterion': 'entropy', 'clf__max_depth': 13, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 137, 'clf__random_state': 42}"
RandomForestClassifier,StandardScaler,RandomUnderSampler,149.56662487983704,0.6316045067068823,"{'clf__criterion': 'log_loss', 'clf__max_depth': 19, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 7, 'clf__n_estimators': 94, 'clf__random_state': 42}"
RandomForestClassifier,StandardScaler,SMOTE,256.8484630584717,0.7429654008345621,"{'clf__criterion': 'entropy', 'clf__max_depth': 17, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__n_estimators': 140, 'clf__random_state': 42}"
RandomForestClassifier,MinMaxScaler,passthrough,191.39911222457886,0.662311273355426,"{'clf__criterion': 'gini', 'clf__max_depth': 18, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 137, 'clf__random_state': 42}"
RandomForestClassifier,MinMaxScaler,RandomOverSampler,216.26416683197021,0.7496324609624427,"{'clf__criterion': 'entropy', 'clf__max_depth': 17, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 14, 'clf__n_estimators': 139, 'clf__random_state': 42}"
RandomForestClassifier,MinMaxScaler,RandomUnderSampler,142.9837110042572,0.6350818215004826,"{'clf__criterion': 'entropy', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 155, 'clf__random_state': 42}"
RandomForestClassifier,MinMaxScaler,SMOTE,245.63023400306702,0.7385705044310615,"{'clf__criterion': 'entropy', 'clf__max_depth': 18, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 3, 'clf__n_estimators': 141, 'clf__random_state': 42}"
XGBClassifier,passthrough,passthrough,147.78475999832153,0.7523614439076711,"{'clf__colsample_bytree': np.float64(0.937928597814181), 'clf__gamma': np.float64(0.029719572002945283), 'clf__learning_rate': np.float64(0.28402710532300063), 'clf__max_depth': 11, 'clf__n_estimators': 281, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.18235986111171232), 'clf__reg_lambda': np.float64(0.4700077754173222), 'clf__subsample': np.float64(0.7443651564177588)}"
XGBClassifier,passthrough,RandomOverSampler,156.68853521347046,0.7756109829297655,"{'clf__colsample_bytree': np.float64(0.8561896735002734), 'clf__gamma': np.float64(0.443553943498291), 'clf__learning_rate': np.float64(0.17112303798949674), 'clf__max_depth': 6, 'clf__n_estimators': 378, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.9940663518960295), 'clf__reg_lambda': np.float64(0.05802711041416819), 'clf__subsample': np.float64(0.8174093691454224)}"
XGBClassifier,passthrough,RandomUnderSampler,144.5245909690857,0.6151522273059478,"{'clf__colsample_bytree': np.float64(0.8933645884902518), 'clf__gamma': np.float64(0.29126700412110795), 'clf__learning_rate': np.float64(0.07273125725210887), 'clf__max_depth': 15, 'clf__n_estimators': 315, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.476379516451941), 'clf__reg_lambda': np.float64(0.44463383893927233), 'clf__subsample': np.float64(0.8789826378801688)}"
