model,scaler,balancing name,time_training,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
SVC,StandardScaler,SMOTE,5.540282249450684,0.9398947557186157,0.9406214208547711,0.9398947557186157,0.9398700804119537,0.9825101692406113
SVC,MinMaxScaler,SMOTE,5.51089882850647,0.9363259358558643,0.9373120605798151,0.9363259358558643,0.9362902175254693,0.9805913641893079
SVC,None,SMOTE,5.373971223831177,0.9293764815288446,0.9311113432409277,0.9293764815288446,0.9293054699077621,0.974545696059996
SVC,StandardScaler,RandomOverSampler,6.262287139892578,0.9422736292520307,0.9429146262523613,0.9422736292520307,0.9422527302748689,0.9773273913982858
SVC,MinMaxScaler,RandomOverSampler,6.312440872192383,0.9380163510808117,0.9389160903187619,0.9380163510808117,0.9379844455449525,0.9753062753377879
SVC,None,RandomOverSampler,5.956141710281372,0.9263083853430188,0.9280101645913594,0.9263083853430188,0.9262347712182013,0.9679880379990058
SVC,StandardScaler,RandomUnderSampler,0.1410219669342041,0.8772182691722922,0.8811676263442603,0.8772182691722922,0.8769022642491885,0.9172062528876588
SVC,MinMaxScaler,RandomUnderSampler,0.16754913330078125,0.8757428693060877,0.8794489823631068,0.8757428693060877,0.8754408974511378,0.9157528070504641
SVC,None,RandomUnderSampler,0.13616108894348145,0.8890494435322023,0.8933136027440561,0.8890494435322023,0.8887505675516618,0.9237844323634965
NaiveBayes,StandardScaler,SMOTE,0.004189014434814453,0.834836484292242,0.8348662920115661,0.834836484292242,0.834832669248444,0.9051115988492973
NaiveBayes,MinMaxScaler,SMOTE,0.004143238067626953,0.834836484292242,0.8348662920115661,0.834836484292242,0.834832669248444,0.9051115988492973
NaiveBayes,None,SMOTE,0.002696990966796875,0.834836484292242,0.8348662920115661,0.834836484292242,0.834832669248444,0.9051115988492973
NaiveBayes,StandardScaler,RandomOverSampler,0.004072904586791992,0.8049091655617977,0.8052764371525193,0.8049091655617977,0.8048479042740191,0.8738961869450401
NaiveBayes,MinMaxScaler,RandomOverSampler,0.0038590431213378906,0.8049091655617977,0.8052764371525193,0.8049091655617977,0.8048479042740191,0.8738961869450401
NaiveBayes,None,RandomOverSampler,0.002596139907836914,0.8049091655617977,0.8052764371525193,0.8049091655617977,0.8048479042740191,0.8738961869450401
NaiveBayes,StandardScaler,RandomUnderSampler,0.0013630390167236328,0.7879644833667822,0.7882787524445158,0.7879644833667822,0.7879025124710387,0.863971895017646
NaiveBayes,MinMaxScaler,RandomUnderSampler,0.0014269351959228516,0.7879644833667822,0.7882787524445158,0.7879644833667822,0.7879025124710387,0.863971895017646
NaiveBayes,None,RandomUnderSampler,0.0013089179992675781,0.7879644833667822,0.7882787524445158,0.7879644833667822,0.7879025124710387,0.863971895017646
DecisionTreeClassifier,StandardScaler,SMOTE,0.3151240348815918,0.9031427079138016,0.9037215951015563,0.9031427079138016,0.9031080352099143,0.9031429393191083
DecisionTreeClassifier,MinMaxScaler,SMOTE,0.2910430431365967,0.9031427079138016,0.9037215951015563,0.9031427079138016,0.9031080352099143,0.9031429393191083
DecisionTreeClassifier,None,SMOTE,0.29555392265319824,0.9031427079138016,0.9037215951015563,0.9031427079138016,0.9031080352099143,0.9031429393191083
DecisionTreeClassifier,StandardScaler,RandomOverSampler,0.17649364471435547,0.9667542330445485,0.9687531447167412,0.9667542330445485,0.9667186199653897,0.9667541533993258
DecisionTreeClassifier,MinMaxScaler,RandomOverSampler,0.17759227752685547,0.9667542330445485,0.9687531447167412,0.9667542330445485,0.9667186199653897,0.9667541533993258
DecisionTreeClassifier,None,RandomOverSampler,0.17757916450500488,0.9667542330445485,0.9687531447167412,0.9667542330445485,0.9667186199653897,0.9667541533993258
DecisionTreeClassifier,StandardScaler,RandomUnderSampler,0.029584884643554688,0.7539512254454783,0.7549384333241873,0.7539512254454783,0.7537226420811066,0.7539847827147247
DecisionTreeClassifier,MinMaxScaler,RandomUnderSampler,0.029505014419555664,0.7539512254454783,0.7549384333241873,0.7539512254454783,0.7537226420811066,0.7539847827147247
