model,scaler,balancing name,time_training,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,best_params
DecisionTreeClassifier,None,SMOTE,0.3427462577819824,0.8703986249648452,0.8705483642502203,0.8703986249648452,0.870385307174594,0.9160982664514016,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,StandardScaler,RandomOverSampler,0.2862429618835449,0.9380791448755149,0.9403060434160645,0.9380791448755149,0.9380007973992054,0.9656531443928884,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,MinMaxScaler,RandomOverSampler,0.2852208614349365,0.9380791448755149,0.9403060434160645,0.9380791448755149,0.9380007973992054,0.9656531443928884,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,None,RandomOverSampler,0.2676560878753662,0.9380791448755149,0.9403060434160645,0.9380791448755149,0.9380007973992054,0.9656531443928884,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,StandardScaler,RandomUnderSampler,0.08338260650634766,0.7386523140546128,0.7391481954656299,0.7386523140546128,0.7385264298771432,0.7947645172195154,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,MinMaxScaler,RandomUnderSampler,0.0709681510925293,0.7386523140546128,0.7391481954656299,0.7386523140546128,0.7385264298771432,0.7947645172195154,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,None,RandomUnderSampler,0.06971001625061035,0.7386523140546128,0.7391481954656299,0.7386523140546128,0.7385264298771432,0.7947645172195154,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
RandomForestClassifier,StandardScaler,SMOTE,15.594767808914185,0.938768289133675,0.9395880287661932,0.938768289133675,0.9387396363766373,0.9864096660035029,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 141}"
RandomForestClassifier,MinMaxScaler,SMOTE,15.237526893615723,0.938768289133675,0.9395880287661932,0.938768289133675,0.9387396363766373,0.9864095875847081,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 141}"
RandomForestClassifier,None,SMOTE,15.547838926315308,0.938768289133675,0.9395880287661932,0.938768289133675,0.9387396363766373,0.9864096660035029,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 141}"
RandomForestClassifier,StandardScaler,RandomOverSampler,11.452754020690918,0.9794642340930716,0.9795051866202094,0.9794642340930716,0.9794637877359197,0.9974295671522346,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 141}"
RandomForestClassifier,MinMaxScaler,RandomOverSampler,12.122931957244873,0.9794642340930716,0.9795051866202094,0.9794642340930716,0.9794637877359197,0.9974294887334401,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 141}"
RandomForestClassifier,None,RandomOverSampler,11.839112997055054,0.9794642340930716,0.9795051866202094,0.9794642340930716,0.9794637877359197,0.9974297239898243,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 141}"
RandomForestClassifier,StandardScaler,RandomUnderSampler,1.3781218528747559,0.8614401264975978,0.864988499491858,0.8614401264975978,0.861105705593135,0.9084355791739236,"{'clf__criterion': 'log_loss', 'clf__max_depth': 12, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 5, 'clf__n_estimators': 123}"
RandomForestClassifier,MinMaxScaler,RandomUnderSampler,1.3926520347595215,0.8614401264975978,0.864988499491858,0.8614401264975978,0.861105705593135,0.9084355791739236,"{'clf__criterion': 'log_loss', 'clf__max_depth': 12, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 5, 'clf__n_estimators': 123}"
RandomForestClassifier,None,RandomUnderSampler,1.4295296669006348,0.8614401264975978,0.864988499491858,0.8614401264975978,0.861105705593135,0.9084355791739236,"{'clf__criterion': 'log_loss', 'clf__max_depth': 12, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 5, 'clf__n_estimators': 123}"
XGBClassifier,StandardScaler,SMOTE,1.8504679203033447,0.9608064024584436,0.9609074912499569,0.9608064024584436,0.9608042477339108,0.9919876888518356,"{'clf__colsample_bytree': np.float64(0.7876433945605654), 'clf__gamma': np.float64(1.8318092164684585), 'clf__learning_rate': np.float64(0.23803499210851797), 'clf__max_depth': 17, 'clf__n_estimators': 495, 'clf__reg_alpha': np.float64(0.19967378215835974), 'clf__reg_lambda': np.float64(0.5142344384136116), 'clf__subsample': np.float64(0.8777243706586126)}"
XGBClassifier,MinMaxScaler,SMOTE,1.7619452476501465,0.9607438046493669,0.9608430401076227,0.9607438046493669,0.9607416861094347,0.9919872968069348,"{'clf__colsample_bytree': np.float64(0.7876433945605654), 'clf__gamma': np.float64(1.8318092164684585), 'clf__learning_rate': np.float64(0.23803499210851797), 'clf__max_depth': 17, 'clf__n_estimators': 495, 'clf__reg_alpha': np.float64(0.19967378215835974), 'clf__reg_lambda': np.float64(0.5142344384136116), 'clf__subsample': np.float64(0.8777243706586126)}"
XGBClassifier,None,SMOTE,1.8563430309295654,0.9608064024584436,0.9609074912499569,0.9608064024584436,0.9608042477339108,0.9919876888518356,"{'clf__colsample_bytree': np.float64(0.7876433945605654), 'clf__gamma': np.float64(1.8318092164684585), 'clf__learning_rate': np.float64(0.23803499210851797), 'clf__max_depth': 17, 'clf__n_estimators': 495, 'clf__reg_alpha': np.float64(0.19967378215835974), 'clf__reg_lambda': np.float64(0.5142344384136116), 'clf__subsample': np.float64(0.8777243706586126)}"
XGBClassifier,StandardScaler,RandomOverSampler,1.5587079524993896,0.9886677779051685,0.9888223924288015,0.9886677779051685,0.9886668562731394,0.9985651560990814,"{'clf__colsample_bytree': np.float64(0.7876433945605654), 'clf__gamma': np.float64(1.8318092164684585), 'clf__learning_rate': np.float64(0.23803499210851797), 'clf__max_depth': 17, 'clf__n_estimators': 495, 'clf__reg_alpha': np.float64(0.19967378215835974), 'clf__reg_lambda': np.float64(0.5142344384136116), 'clf__subsample': np.float64(0.8777243706586126)}"
XGBClassifier,MinMaxScaler,RandomOverSampler,1.9404919147491455,0.9886677779051685,0.9888223924288015,0.9886677779051685,0.9886668562731394,0.9985651560990814,"{'clf__colsample_bytree': np.float64(0.7876433945605654), 'clf__gamma': np.float64(1.8318092164684585), 'clf__learning_rate': np.float64(0.23803499210851797), 'clf__max_depth': 17, 'clf__n_estimators': 495, 'clf__reg_alpha': np.float64(0.19967378215835974), 'clf__reg_lambda': np.float64(0.5142344384136116), 'clf__subsample': np.float64(0.8777243706586126)}"
XGBClassifier,None,RandomOverSampler,2.013277053833008,0.9886677779051685,0.9888223924288015,0.9886677779051685,0.9886668562731394,0.9985651560990814,"{'clf__colsample_bytree': np.float64(0.7876433945605654), 'clf__gamma': np.float64(1.8318092164684585), 'clf__learning_rate': np.float64(0.23803499210851797), 'clf__max_depth': 17, 'clf__n_estimators': 495, 'clf__reg_alpha': np.float64(0.19967378215835974), 'clf__reg_lambda': np.float64(0.5142344384136116), 'clf__subsample': np.float64(0.8777243706586126)}"
XGBClassifier,StandardScaler,RandomUnderSampler,0.5552420616149902,0.8510794867116707,0.8536073755102411,0.8510794867116707,0.8508079688809577,0.9074758493830892,"{'clf__colsample_bytree': np.float64(0.7139351238159992), 'clf__gamma': np.float64(3.0377242595071916), 'clf__learning_rate': np.float64(0.09526206184364576), 'clf__max_depth': 9, 'clf__n_estimators': 323, 'clf__reg_alpha': np.float64(0.9488855372533332), 'clf__reg_lambda': np.float64(0.9656320330745594), 'clf__subsample': np.float64(0.9425192044349383)}"
XGBClassifier,MinMaxScaler,RandomUnderSampler,0.5981850624084473,0.8510794867116707,0.8536073755102411,0.8510794867116707,0.8508079688809577,0.9074758493830892,"{'clf__colsample_bytree': np.float64(0.7139351238159992), 'clf__gamma': np.float64(3.0377242595071916), 'clf__learning_rate': np.float64(0.09526206184364576), 'clf__max_depth': 9, 'clf__n_estimators': 323, 'clf__reg_alpha': np.float64(0.9488855372533332), 'clf__reg_lambda': np.float64(0.9656320330745594), 'clf__subsample': np.float64(0.9425192044349383)}"
XGBClassifier,None,RandomUnderSampler,0.6077139377593994,0.8510794867116707,0.8536073755102411,0.8510794867116707,0.8508079688809577,0.9074758493830892,"{'clf__colsample_bytree': np.float64(0.7139351238159992), 'clf__gamma': np.float64(3.0377242595071916), 'clf__learning_rate': np.float64(0.09526206184364576), 'clf__max_depth': 9, 'clf__n_estimators': 323, 'clf__reg_alpha': np.float64(0.9488855372533332), 'clf__reg_lambda': np.float64(0.9656320330745594), 'clf__subsample': np.float64(0.9425192044349383)}"
LGBMClassifier,StandardScaler,SMOTE,22.21705174446106,0.9770849881869663,0.977117315887936,0.9770849881869663,0.9770845395484633,0.9967777300099794,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,MinMaxScaler,SMOTE,23.049250841140747,0.9776483096729687,0.9776842061164887,0.9776483096729687,0.9776478823444238,0.9968957311085598,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,None,SMOTE,24.213119983673096,0.9773978400424113,0.9774175944242713,0.9773978400424113,0.977397612089223,0.9967151775751086,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,StandardScaler,RandomOverSampler,21.79870104789734,0.9931129866935559,0.9931927559838544,0.9931129866935559,0.9931126967275364,0.9993880059359259,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,MinMaxScaler,RandomOverSampler,20.580549001693726,0.9926747236357685,0.9927652899362543,0.9926747236357685,0.9926743779879038,0.9994354787015534,"{'clf__bagging_fraction': np.float64(0.9744427686266666), 'clf__feature_fraction': np.float64(0.9828160165372797), 'clf__learning_rate': np.float64(0.4141986740582306), 'clf__max_depth': 13, 'clf__n_estimators': 395, 'clf__num_leaves': 83, 'clf__reg_alpha': np.float64(0.230893825622149), 'clf__reg_lambda': np.float64(0.24102546602601171)}"
LGBMClassifier,None,RandomOverSampler,20.11367702484131,0.993801582191962,0.9938787214899347,0.993801582191962,0.9938013312881608,0.9994266049622507,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,StandardScaler,RandomUnderSampler,10.711670875549316,0.8619327373350363,0.8642277612288545,0.8619327373350363,0.8617056777366843,0.9055570865635666,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,MinMaxScaler,RandomUnderSampler,10.829900026321411,0.8574968071519796,0.8599408884507461,0.8574968071519796,0.8572407860032205,0.9100110544918454,"{'clf__bagging_fraction': np.float64(0.5998368910791798), 'clf__feature_fraction': np.float64(0.7571172192068059), 'clf__learning_rate': np.float64(0.30620728443102124), 'clf__max_depth': 7, 'clf__n_estimators': 356, 'clf__num_leaves': 37, 'clf__reg_alpha': np.float64(0.17052412368729153), 'clf__reg_lambda': np.float64(0.06505159298527952)}"
LGBMClassifier,None,RandomUnderSampler,10.58813738822937,0.8614364775284317,0.8637577397522247,0.8614364775284317,0.8612161737197276,0.9086471546035917,"{'clf__bagging_fraction': np.float64(0.9744427686266666), 'clf__feature_fraction': np.float64(0.9828160165372797), 'clf__learning_rate': np.float64(0.4141986740582306), 'clf__max_depth': 13, 'clf__n_estimators': 395, 'clf__num_leaves': 83, 'clf__reg_alpha': np.float64(0.230893825622149), 'clf__reg_lambda': np.float64(0.24102546602601171)}"
